week,location,average_price
26/12/2015,Kolkata,153.79(154.00)
26/12/2015,Guwahati,135.27(126.18)
26/12/2015,Siliguri,128.56(123.58)
26/12/2015,Jalpaiguri,NS(NS)
26/12/2015,mjunction,
26/12/2015,Cochin,NS(NS)
26/12/2015,Coonoor,83.51(NS)
26/12/2015,Coimbatore,NS(NS)
26/12/2015,Tea Serve,72.87(NS)
19/12/2015,Kolkata,157.45(163.07)
19/12/2015,Guwahati,134.46(125.90)
19/12/2015,Siliguri,125.55(120.92)
19/12/2015,Jalpaiguri,NS(NS)
19/12/2015,mjunction,
19/12/2015,Cochin,107.85(101.03)
19/12/2015,Coonoor,82.18(68.65)
19/12/2015,Coimbatore,86.85(74.65)
19/12/2015,Tea Serve,68.76(49.74)
12/12/2015,Kolkata,155.83(162.89)
12/12/2015,Guwahati,133.57(133.06)
12/12/2015,Siliguri,120.70(120.28)
12/12/2015,Jalpaiguri,NS(NS)
12/12/2015,mjunction,
12/12/2015,Cochin,105.87(96.27)
12/12/2015,Coonoor,80.87(65.53)
12/12/2015,Coimbatore,83.87(75.23)
12/12/2015,Tea Serve,66.11(49.87)
05/12/2015,Kolkata,154.94(167.18)
05/12/2015,Guwahati,137.00(133.87)
05/12/2015,Siliguri,125.47(120.98)
05/12/2015,Jalpaiguri,NS(NS)
05/12/2015,mjunction,
05/12/2015,Cochin,103.73(91.82)
05/12/2015,Coonoor,78.69(63.99)
05/12/2015,Coimbatore,81.06(75.18)
05/12/2015,Tea Serve,63.39(50.13)
28/11/2015,Kolkata,157.92(164.65)
28/11/2015,Guwahati,144.91(135.22)
28/11/2015,Siliguri,132.17(122.26)
28/11/2015,Jalpaiguri,NS(NS)
28/11/2015,mjunction,
28/11/2015,Cochin,105.30(90.26)
28/11/2015,Coonoor,75.52(62.33)
28/11/2015,Coimbatore,80.56(73.40)
28/11/2015,Tea Serve,64.30(49.15)
21/11/2015,Kolkata,152.56(164.80)
21/11/2015,Guwahati,141.95(135.24)
21/11/2015,Siliguri,125.17(128.12)
21/11/2015,Jalpaiguri,NS(NS)
21/11/2015,mjunction,
21/11/2015,Cochin,94.81(86.00)
21/11/2015,Coonoor,73.33(61.42)
21/11/2015,Coimbatore,79.55(73.09)
21/11/2015,Tea Serve,62.93(49.34)
14/11/2015,Kolkata,154.15(161.67)
14/11/2015,Guwahati,147.66(140.05)
14/11/2015,Siliguri,NS(128.50)
14/11/2015,Jalpaiguri,NS(NS)
14/11/2015,mjunction,
14/11/2015,Cochin,93.67(87.08)
14/11/2015,Coonoor,NS(60.91)
14/11/2015,Coimbatore,NS(72.73)
14/11/2015,Tea Serve,60.51(49.50)
07/11/2015,Kolkata,155.49(156.50)
07/11/2015,Guwahati,141.27(137.04)
07/11/2015,Siliguri,121.91(123.03)
07/11/2015,Jalpaiguri,NS(86.90)
07/11/2015,mjunction,
07/11/2015,Cochin,94.38(88.71)
07/11/2015,Coonoor,72.45(62.74)
07/11/2015,Coimbatore,79.24(74.44)
07/11/2015,Tea Serve,57.25(48.79)
31/10/2015,Kolkata,153.37(153.01)
31/10/2015,Guwahati,140.56(136.55)
31/10/2015,Siliguri,120.13(126.00)
31/10/2015,Jalpaiguri,NS(99.34)
31/10/2015,mjunction,
31/10/2015,Cochin,101.26(88.88)
31/10/2015,Coonoor,72.12(63.44)
31/10/2015,Coimbatore,81.35(74.76)
31/10/2015,Tea Serve,56.19(50.72)
24/10/2015,Kolkata,NS(151.69)
24/10/2015,Guwahati,NS(136.59)
24/10/2015,Siliguri,NS(119.78)
24/10/2015,Jalpaiguri,NS(NS)
24/10/2015,mjunction,
24/10/2015,Cochin,106.71(93.57)
24/10/2015,Coonoor,73.26(65.14)
24/10/2015,Coimbatore,77.93(NS)
24/10/2015,Tea Serve,54.32(49.29)
17/10/2015,Kolkata,157.02(151.82)
17/10/2015,Guwahati,140.92(136.25)
17/10/2015,Siliguri,115.19(119.85)
17/10/2015,Jalpaiguri,NS(NS)
17/10/2015,mjunction,
17/10/2015,Cochin,105.60(97.69)
17/10/2015,Coonoor,72.71(69.82)
17/10/2015,Coimbatore,81.11(80.16)
17/10/2015,Tea Serve,51.72(50.23)
10/10/2015,Kolkata,162.17(150.25)
10/10/2015,Guwahati,141.25(135.50)
10/10/2015,Siliguri,112.72(121.34)
10/10/2015,Jalpaiguri,NS(NS)
10/10/2015,mjunction,
10/10/2015,Cochin,101.07(100.06)
10/10/2015,Coonoor,69.74(72.99)
10/10/2015,Coimbatore,75.41(79.19)
10/10/2015,Tea Serve,54.91(50.87)
03/10/2015,Kolkata,153.90(NS)
03/10/2015,Guwahati,145.37(NS)
03/10/2015,Siliguri,110.88(NS)
03/10/2015,Jalpaiguri,NS(NS)
03/10/2015,mjunction,
03/10/2015,Cochin,100.70(99.47)
03/10/2015,Coonoor,68.30(76.14)
03/10/2015,Coimbatore,75.89(83.71)
03/10/2015,Tea Serve,56.15(52.21)
26/09/2015,Kolkata,158.22(149.44)
26/09/2015,Guwahati,146.82(137.67)
26/09/2015,Siliguri,115.23(122.03)
26/09/2015,Jalpaiguri,NS(106.27)
26/09/2015,mjunction,
26/09/2015,Cochin,98.50(100.46)
26/09/2015,Coonoor,68.40(76.53)
26/09/2015,Coimbatore,72.51(77.70)
26/09/2015,Tea Serve,55.13(51.51)
19/09/2015,Kolkata,164.58(152.43)
19/09/2015,Guwahati,144.42(135.82)
19/09/2015,Siliguri,116.21(124.20)
19/09/2015,Jalpaiguri,NS(93.14)
19/09/2015,mjunction,
19/09/2015,Cochin,92.89(98.45)
19/09/2015,Coonoor,67.02(74.67)
19/09/2015,Coimbatore,72.62(75.91)
19/09/2015,Tea Serve,50.24(48.98)
12/09/2015,Kolkata,164.57(147.62)
12/09/2015,Guwahati,144.06(142.00)
12/09/2015,Siliguri,118.19(123.96)
12/09/2015,Jalpaiguri,86.03(106.60)
12/09/2015,mjunction,
12/09/2015,Cochin,89.70(NS)
12/09/2015,Coonoor,65.68(70.44)
12/09/2015,Coimbatore,69.66(71.55)
12/09/2015,Tea Serve,54.33(48.21)
05/09/2015,Kolkata,165.47(151.73)
05/09/2015,Guwahati,149.82(140.92)
05/09/2015,Siliguri,120.68(123.22)
05/09/2015,Jalpaiguri,103.44(NS)
05/09/2015,mjunction,
05/09/2015,Cochin,91.47(96.22)
05/09/2015,Coonoor,65.05(66.79)
05/09/2015,Coimbatore,71.95(71.43)
05/09/2015,Tea Serve,54.72(49.11)
29/08/2015,Kolkata,168.49(155.34)
29/08/2015,Guwahati,152.24(145.57)
29/08/2015,Siliguri,119.17(121.53)
29/08/2015,Jalpaiguri,90.28(92.99)
29/08/2015,mjunction,
29/08/2015,Cochin,NS(94.47)
29/08/2015,Coonoor,64.38(63.04)
29/08/2015,Coimbatore,71.58(68.27)
29/08/2015,Tea Serve,52.17(52.42)
22/08/2015,Kolkata,170.35(157.06)
22/08/2015,Guwahati,152.27(146.97)
22/08/2015,Siliguri,120.75(124.24)
22/08/2015,Jalpaiguri,100.84(102.39)
22/08/2015,mjunction,
22/08/2015,Cochin,91.13(93.65)
22/08/2015,Coonoor,64.39(62.70)
22/08/2015,Coimbatore,71.34(70.40)
22/08/2015,Tea Serve,54.57(50.19)
15/08/2015,Kolkata,166.07(161.16)
15/08/2015,Guwahati,151.38(151.07)
15/08/2015,Siliguri,123.26(127.60)
15/08/2015,Jalpaiguri,100.64(103.25)
15/08/2015,mjunction,
15/08/2015,Cochin,90.11(95.41)
15/08/2015,Coonoor,64.18(62.54)
15/08/2015,Coimbatore,70.27(69.18)
15/08/2015,Tea Serve,58.30(50.73)
08/08/2015,Kolkata,163.72(164.98)
08/08/2015,Guwahati,151.02(152.83)
08/08/2015,Siliguri,127.01(129.44)
08/08/2015,Jalpaiguri,NS(105.93)
08/08/2015,mjunction,
08/08/2015,Cochin,86.66(92.25)
08/08/2015,Coonoor,64.57(63.93)
08/08/2015,Coimbatore,70.21(69.77)
08/08/2015,Tea Serve,56.71(53.22)
01/08/2015,Kolkata,169.45(169.05)
01/08/2015,Guwahati,152.64(158.58)
01/08/2015,Siliguri,126.78(132.00)
01/08/2015,Jalpaiguri,NS(120.00)
01/08/2015,mjunction,
01/08/2015,Cochin,86.06(97.51)
01/08/2015,Coonoor,64.68(66.39)
01/08/2015,Coimbatore,71.21(70.51)
01/08/2015,Tea Serve,55.26(55.80)
25/07/2015,Kolkata,169.12(176.66)
25/07/2015,Guwahati,156.88(162.34)
25/07/2015,Siliguri,128.52(134.38)
25/07/2015,Jalpaiguri,NS(114.73)
25/07/2015,mjunction,
25/07/2015,Cochin,85.56(98.73)
25/07/2015,Coonoor,65.28(65.60)
25/07/2015,Coimbatore,69.54(72.59)
25/07/2015,Tea Serve,58.19(57.05)
18/07/2015,Kolkata,169.33(181.20)
18/07/2015,Guwahati,150.99(165.71)
18/07/2015,Siliguri,126.49(138.57)
18/07/2015,Jalpaiguri,NS(106.06)
18/07/2015,mjunction,
18/07/2015,Cochin,87.72(95.80)
18/07/2015,Coonoor,65.03(66.66)
18/07/2015,Coimbatore,73.46(73.92)
18/07/2015,Tea Serve,58.21(56.97)
11/07/2015,Kolkata,163.85(189.38)
11/07/2015,Guwahati,155.18(174.07)
11/07/2015,Siliguri,124.03(144.10)
11/07/2015,Jalpaiguri,NS(114.19)
11/07/2015,mjunction,
11/07/2015,Cochin,87.62(96.80)
11/07/2015,Coonoor,67.88(74.71)
11/07/2015,Coimbatore,72.88(80.55)
11/07/2015,Tea Serve,59.77(55.22)
04/07/2015,Kolkata,155.47(186.10)
04/07/2015,Guwahati,153.59(174.18)
04/07/2015,Siliguri,126.32(148.11)
04/07/2015,Jalpaiguri,NS(117.47)
04/07/2015,mjunction,
04/07/2015,Cochin,87.90(94.77)
04/07/2015,Coonoor,68.27(73.04)
04/07/2015,Coimbatore,72.40(76.15)
04/07/2015,Tea Serve,60.85(57.62)
27/06/2015,Kolkata,163.57(182.85)
27/06/2015,Guwahati,153.20(177.33)
27/06/2015,Siliguri,127.75(154.91)
27/06/2015,Jalpaiguri,NS(NS)
27/06/2015,mjunction,
27/06/2015,Cochin,86.42(94.54)
27/06/2015,Coonoor,67.80(76.27)
